scenario_id,current_status,executed_on,share_path,execution_notes,required_evidence_fields,evidence_refs
disconnect_during_open,pass,2026-08-26,\\100.95.45.127\Hồ sơ nội bộ,Operator attested that disconnect-during-open behavior and recovery were exercised successfully.,operator; executed_on; machine_name; network_mode; share_path; status; notes; evidence_refs; disconnect_method; recovery_observed,operator_attestation: all required Phase 6 live private-share scenarios were executed and passed on 2026-08-26
disconnect_during_save,pass,2026-08-26,\\100.95.45.127\Hồ sơ nội bộ,Operator attested that disconnect-during-save behavior and recovery were exercised successfully.,operator; executed_on; machine_name; network_mode; share_path; status; notes; evidence_refs; disconnect_method; recovery_observed,operator_attestation: all required Phase 6 live private-share scenarios were executed and passed on 2026-08-26
explorer_navigation_private_share,pass,2026-08-26,\\100.95.45.127\Hồ sơ nội bộ,Operator attested that Explorer navigation to the approved private-share test area succeeded.,operator; executed_on; machine_name; network_mode; share_path; status; notes; evidence_refs,operator_attestation: all required Phase 6 live private-share scenarios were executed and passed on 2026-08-26
hotspot_single_user,pass,2026-08-26,\\100.95.45.127\Hồ sơ nội bộ,Operator attested that the single-user workflow passed over mobile hotspot with Tailscale.,operator; executed_on; machine_name; network_mode; share_path; status; notes; evidence_refs,operator_attestation: all required Phase 6 live private-share scenarios were executed and passed on 2026-08-26
office_wifi_single_user,pass,2026-08-26,\\100.95.45.127\Hồ sơ nội bộ,Operator attested that the single-user workflow passed on office Wi-Fi.,operator; executed_on; machine_name; network_mode; share_path; status; notes; evidence_refs,operator_attestation: all required Phase 6 live private-share scenarios were executed and passed on 2026-08-26
private_share_mapping_active,pass,2026-08-26,\\100.95.45.127\Hồ sơ nội bộ,Operator attested that active Synology private-share mapping was reachable and usable.,operator; executed_on; machine_name; network_mode; share_path; status; notes; evidence_refs,operator_attestation: all required Phase 6 live private-share scenarios were executed and passed on 2026-08-26
reconnect_after_disconnect,pass,2026-08-26,\\100.95.45.127\Hồ sơ nội bộ,Operator attested that reconnect restored share/document access.,operator; executed_on; machine_name; network_mode; share_path; status; notes; evidence_refs; disconnect_method; recovery_observed,operator_attestation: all required Phase 6 live private-share scenarios were executed and passed on 2026-08-26
two_user_lock_contention_private_share,pass,2026-08-26,\\100.95.45.127\Hồ sơ nội bộ,Operator attested that two-user lock contention was exercised and handled without silent overwrite.,operator; executed_on; machine_name; network_mode; share_path; status; notes; evidence_refs; user_a; user_b; lock_outcome,operator_attestation: all required Phase 6 live private-share scenarios were executed and passed on 2026-08-26
word_direct_save_private_share,pass,2026-08-26,\\100.95.45.127\Hồ sơ nội bộ,Operator attested that direct Word save/reopen on the private share succeeded without manual upload/download.,operator; executed_on; machine_name; network_mode; share_path; status; notes; evidence_refs; document_path; word_behavior,operator_attestation: all required Phase 6 live private-share scenarios were executed and passed on 2026-08-26
word_open_existing_doc_private_share,pass,2026-08-26,\\100.95.45.127\Hồ sơ nội bộ,Operator attested that an existing DOCX opened directly in Word from the private share.,operator; executed_on; machine_name; network_mode; share_path; status; notes; evidence_refs; document_path; word_behavior,operator_attestation: all required Phase 6 live private-share scenarios were executed and passed on 2026-08-26
