conflict_key,projection_type,source_sheet,business_key,classification,candidate_count,candidate_legacy_ids,current_decision_action,selected_candidate_legacy_id,review_focus,decision_question,resolution_rationale,evidence_summary,candidate_details
db.ktra::GMP-103C,current_case_projection,db.ktra,GMP-103C,completed_plus_pending_both_current,2,1095; 1194,winner,1194,Xac nhan dong current-case nao moi dung khi mot dong completed va mot dong pending cung dang current.,Legacy inspection row nao phai dai dien cho current case projection cua inspection key nay?,One completed row and one pending row are both marked current; workbook evidence does not yet prove which row should drive the target current-case projection.,"Progress values=[Chờ đi kiểm tra ..., Hoàn thành]; linked_certificate_ids=[1183]; candidate_row_states=[1095:Chờ đi kiểm tra ..., 1194:Hoàn thành]",- legacy_row_id=1095; progress=Chờ đi kiểm tra ...; linked_certificate_id= | - legacy_row_id=1194; progress=Hoàn thành; linked_certificate_id=1183
db.ktra::GMP-310A,current_case_projection,db.ktra,GMP-310A,multiple_completed_both_current,2,1047; 1160,winner,1160,Xac nhan dong current-case winner khi co nhieu dong completed cung dang current.,Legacy inspection row nao phai dai dien cho current case projection cua inspection key nay?,More than one completed inspection row remains current; no proven winner-selection rule exists yet.,"Progress values=[Hoàn thành, Hoàn thành]; linked_certificate_ids=[1022, 1209]; candidate_row_states=[1047:Hoàn thành, 1160:Hoàn thành]",- legacy_row_id=1047; progress=Hoàn thành; linked_certificate_id=1022 | - legacy_row_id=1160; progress=Hoàn thành; linked_certificate_id=1209
db.ktra::GMP-52A,current_case_projection,db.ktra,GMP-52A,completed_plus_pending_both_current,2,1152; 1509,winner,1509,Xac nhan dong current-case nao moi dung khi mot dong completed va mot dong pending cung dang current.,Legacy inspection row nao phai dai dien cho current case projection cua inspection key nay?,One completed row and one pending row are both marked current; workbook evidence does not yet prove which row should drive the target current-case projection.,"Progress values=[Hoàn thành, Chờ hoàn thiện báo cáo ...]; linked_certificate_ids=[1194]; candidate_row_states=[1152:Hoàn thành, 1509:Chờ hoàn thiện báo cáo ...]",- legacy_row_id=1152; progress=Hoàn thành; linked_certificate_id=1194 | - legacy_row_id=1509; progress=Chờ hoàn thiện báo cáo ...; linked_certificate_id=
db.ktra::GMP-75B,current_case_projection,db.ktra,GMP-75B,completed_plus_pending_both_current,2,1126; 1460,winner,1460,Xac nhan dong current-case nao moi dung khi mot dong completed va mot dong pending cung dang current.,Legacy inspection row nao phai dai dien cho current case projection cua inspection key nay?,One completed row and one pending row are both marked current; workbook evidence does not yet prove which row should drive the target current-case projection.,"Progress values=[Hoàn thành, Chờ đi kiểm tra ...]; linked_certificate_ids=[1096]; candidate_row_states=[1126:Hoàn thành, 1460:Chờ đi kiểm tra ...]",- legacy_row_id=1126; progress=Hoàn thành; linked_certificate_id=1096 | - legacy_row_id=1460; progress=Chờ đi kiểm tra ...; linked_certificate_id=
db.cc::GMP-104,current_certificate_projection,db.cc,GMP-104,blank_ma_dc_non_case_backed_multi_current,4,845; 1242; 1438; 1475,no_winner,,Chon mot current certificate winner hoac xac nhan khong co winner khi cac dong khong co inspection/case backing.,Legacy certificate row nao phai dai dien cho current certificate projection cua site nay?,Multiple non-case-backed certificate rows collapse onto one current key when MÃ DC is blank; no proven business discriminator exists yet.,"All candidate rows have blank ma_dc=True and blank inspection_id=True; certificate_nos=[5130408005493, INS-484517-103383276-20874384, OGYÉI/10084-6/2023, OGYÉI/22758-6/2019]",- legacy_row_id=845; certificate_no=OGYÉI/22758-6/2019; issue_date=2019-11-28 00:00:00+00:00; expiry_date=30-08-2022 (gia hạn đến 31-12-2023) | - legacy_row_id=1242; certificate_no=OGYÉI/10084-6/2023; issue_date=2023-07-12 00:00:00+00:00; expiry_date=2026-02-09 00:00:00+00:00 | - legacy_row_id=1438; certificate_no=5130408005493; issue_date=2022-09-01 00:00:00+00:00; expiry_date=2027-09-01 00:00:00+00:00 | - legacy_row_id=1475; certificate_no=INS-484517-103383276-20874384; issue_date=2025-10-07 00:00:00+00:00; expiry_date=2027-05-31 00:00:00+00:00
db.cc::GMP-128,current_certificate_projection,db.cc,GMP-128,blank_ma_dc_non_case_backed_multi_current,3,1217; 1244; 1348,no_winner,,Chon mot current certificate winner hoac xac nhan khong co winner khi cac dong khong co inspection/case backing.,Legacy certificate row nao phai dai dien cho current certificate projection cua site nay?,Multiple non-case-backed certificate rows collapse onto one current key when MÃ DC is blank; no proven business discriminator exists yet.,"All candidate rows have blank ma_dc=True and blank inspection_id=True; certificate_nos=[MEDFAREASTLIQ&SEMISOL/2026/001, MEDFAREASTORAL/2026/001, MEDOFEORALB/2024/001]",- legacy_row_id=1217; certificate_no=MEDFAREASTORAL/2026/001; issue_date=2026-04-07 00:00:00+00:00; expiry_date=2028-07-17 00:00:00+00:00 | - legacy_row_id=1244; certificate_no=MEDFAREASTLIQ&SEMISOL/2026/001; issue_date=2026-04-20 00:00:00+00:00; expiry_date=2028-07-19 00:00:00+00:00 | - legacy_row_id=1348; certificate_no=MEDOFEORALB/2024/001; issue_date=2024-07-05 00:00:00+00:00; expiry_date=2026-12-15 00:00:00+00:00
db.cc::GMP-129,current_certificate_projection,db.cc,GMP-129,blank_ma_dc_non_case_backed_multi_current,3,883; 1243; 1347,no_winner,,Chon mot current certificate winner hoac xac nhan khong co winner khi cac dong khong co inspection/case backing.,Legacy certificate row nao phai dai dien cho current certificate projection cua site nay?,Multiple non-case-backed certificate rows collapse onto one current key when MÃ DC is blank; no proven business discriminator exists yet.,"All candidate rows have blank ma_dc=True and blank inspection_id=True; certificate_nos=[MED10/2020/001, MEDOFARINJC/2026/001, MEDOFEINJB/2024/001]",- legacy_row_id=883; certificate_no=MED10/2020/001; issue_date=2020-02-03 00:00:00+00:00; expiry_date=15-09-2020 (gia hạn đến 31-12-2023) | - legacy_row_id=1243; certificate_no=MEDOFARINJC/2026/001; issue_date=2026-04-07 00:00:00+00:00; expiry_date=2028-07-15 00:00:00+00:00 | - legacy_row_id=1347; certificate_no=MEDOFEINJB/2024/001; issue_date=2024-07-05 00:00:00+00:00; expiry_date=2026-12-15 00:00:00+00:00
db.cc::GMP-144,current_certificate_projection,db.cc,GMP-144,blank_ma_dc_non_case_backed_multi_current,4,1239; 1345; 1437; 1597,no_winner,,Chon mot current certificate winner hoac xac nhan khong co winner khi cac dong khong co inspection/case backing.,Legacy certificate row nao phai dai dien cho current certificate projection cua site nay?,Multiple non-case-backed certificate rows collapse onto one current key when MÃ DC is blank; no proven business discriminator exists yet.,"All candidate rows have blank ma_dc=True and blank inspection_id=True; certificate_nos=[5130708009170, AG1100001001, INS-484520-103561370-20778606, NNGYK/GYSZ/11918-5/2024]",- legacy_row_id=1239; certificate_no=AG1100001001; issue_date=2023-10-04 00:00:00+00:00; expiry_date=2026-09-24 00:00:00+00:00 | - legacy_row_id=1345; certificate_no=NNGYK/GYSZ/11918-5/2024; issue_date=2024-08-22 00:00:00+00:00; expiry_date=2027-04-07 00:00:00+00:00 | - legacy_row_id=1437; certificate_no=INS-484520-103561370-20778606; issue_date=2025-09-02 00:00:00+00:00; expiry_date=05-2027 | - legacy_row_id=1597; certificate_no=5130708009170; issue_date=2026-03-04 00:00:00+00:00; expiry_date=2029-03-03 00:00:00+00:00
db.cc::GMP-2,current_certificate_projection,db.cc,GMP-2,blank_ma_dc_non_case_backed_multi_current,2,1241; 1598,no_winner,,Chon mot current certificate winner hoac xac nhan khong co winner khi cac dong khong co inspection/case backing.,Legacy certificate row nao phai dai dien cho current certificate projection cua site nay?,Multiple non-case-backed certificate rows collapse onto one current key when MÃ DC is blank; no proven business discriminator exists yet.,"All candidate rows have blank ma_dc=True and blank inspection_id=True; certificate_nos=[NNGYK/30304-2/2026, OGYÉI/895-7/2023]",- legacy_row_id=1241; certificate_no=OGYÉI/895-7/2023; issue_date=2023-10-16 00:00:00+00:00; expiry_date=2026-05-01 00:00:00+00:00 | - legacy_row_id=1598; certificate_no=NNGYK/30304-2/2026; issue_date=2026-04-16 00:00:00+00:00; expiry_date=2026-12-31 00:00:00+00:00
db.cc::GMP-24,current_certificate_projection,db.cc,GMP-24,blank_ma_dc_non_case_backed_multi_current,4,835; 871; 1365; 1434,no_winner,,Chon mot current certificate winner hoac xac nhan khong co winner khi cac dong khong co inspection/case backing.,Legacy certificate row nao phai dai dien cho current certificate projection cua site nay?,Multiple non-case-backed certificate rows collapse onto one current key when MÃ DC is blank; no proven business discriminator exists yet.,"All candidate rows have blank ma_dc=True and blank inspection_id=True; certificate_nos=[530-10/25-06/02; 381-13-08/256-25-06, DE_HE_01_GMP_2019_0065, DE_HE_01_GMP_2020_0081, DE_HE_01_GMP_2024_0239]",- legacy_row_id=835; certificate_no=DE_HE_01_GMP_2019_0065; issue_date=2019-05-13 00:00:00+00:00; expiry_date=2022-03-07 00:00:00+00:00 | - legacy_row_id=871; certificate_no=DE_HE_01_GMP_2020_0081; issue_date=2020-06-03 00:00:00+00:00; expiry_date=07-03-2022 (gia hạn đến 31-12-2024) | - legacy_row_id=1365; certificate_no=DE_HE_01_GMP_2024_0239; issue_date=2024-11-05 00:00:00+00:00; expiry_date=2025-10-11 00:00:00+00:00 | - legacy_row_id=1434; certificate_no=530-10/25-06/02; 381-13-08/256-25-06; issue_date=2025-07-18 00:00:00+00:00; expiry_date=2028-03-28 00:00:00+00:00
db.cc::GMP-264,current_certificate_projection,db.cc,GMP-264,blank_ma_dc_non_case_backed_multi_current,2,1179; 1383,no_winner,,Chon mot current certificate winner hoac xac nhan khong co winner khi cac dong khong co inspection/case backing.,Legacy certificate row nao phai dai dien cho current certificate projection cua site nay?,Multiple non-case-backed certificate rows collapse onto one current key when MÃ DC is blank; no proven business discriminator exists yet.,"All candidate rows have blank ma_dc=True and blank inspection_id=True; certificate_nos=[008/2023/RO, 098/2024/RO]",- legacy_row_id=1179; certificate_no=008/2023/RO; issue_date=2023-03-29 00:00:00+00:00; expiry_date=01-09-2024 (gia hạn đến 31/12/2024) | - legacy_row_id=1383; certificate_no=098/2024/RO; issue_date=2024-12-18 00:00:00+00:00; expiry_date=10/2027
